ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24067,JB355818,07/19/2018 02:00:00 AM,056XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0225,002,20,40,01A,1178117,1867752,2018,07/26/2018 03:51:12 PM,41.792425533,-87.622403855,"(41.792425533, -87.622403855)"
24066,JB354304,07/18/2018 12:17:00 AM,067XX S WINCHESTER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0726,007,15,67,01A,1164519,1859959,2018,07/25/2018 03:55:44 PM,41.771338282,-87.672485365,"(41.771338282, -87.672485365)"
24065,JB353936,07/18/2018 04:58:00 AM,000XX S SPRINGFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1122,011,28,26,01A,1150400,1899548,2018,07/25/2018 03:55:44 PM,41.880261937,-87.723210667,"(41.880261937, -87.723210667)"
23802,JB137011,01/31/2018 11:26:00 PM,077XX S RACINE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0612,006,17,71,01A,1169662,1853531,2018,07/25/2018 03:53:11 PM,41.753589034,-87.653819041,"(41.753589034, -87.653819041)"
23761,JB101043,01/01/2018 10:40:00 PM,081XX S STONY ISLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,0411,004,8,45,01A,1188344,1851279,2018,07/25/2018 03:53:11 PM,41.746984035,-87.585428696,"(41.746984035, -87.585428696)"
23676,JA492780,10/31/2017 10:22:00 AM,073XX S OGLESBY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0334,003,7,43,01A,1193146,1856782,2017,07/25/2018 03:53:11 PM,41.761968828,-87.567653754,"(41.761968828, -87.567653754)"
24063,JB354214,07/17/2018 10:21:00 PM,130XX S EVANS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0533,005,9,54,01A,1183714,1818768,2018,07/24/2018 04:15:32 PM,41.657878887,-87.603403725,"(41.657878887, -87.603403725)"
24062,JB353877,07/17/2018 06:04:00 PM,097XX S WOODLAWN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0511,005,8,50,01A,1185921,1840542,2018,07/24/2018 04:15:32 PM,41.717577997,-87.594644745,"(41.717577997, -87.594644745)"
24061,JB351180,07/15/2018 08:31:00 PM,049XX W ADAMS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1533,015,28,25,01A,1143642,1898881,2018,07/22/2018 04:00:00 PM,41.878560762,-87.748042277,"(41.878560762, -87.748042277)"
24060,JB350722,07/15/2018 01:14:00 PM,010XX N LEAMINGTON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,1531,015,37,25,01A,1141838,1906418,2018,07/22/2018 04:00:00 PM,41.899276772,-87.75447959,"(41.899276772, -87.75447959)"
24059,JB350418,07/15/2018 07:45:00 AM,009XX N KEDVALE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1111,011,37,23,01A,1148545,1905987,2018,07/22/2018 04:00:00 PM,41.89796724,-87.729855801,"(41.89796724, -87.729855801)"
24058,JB350108,07/14/2018 11:48:00 PM,048XX W FULTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1532,015,28,25,01A,1143898,1901492,2018,07/21/2018 03:49:07 PM,41.885720867,-87.74703679,"(41.885720867, -87.74703679)"
24057,JB349903,07/14/2018 08:04:00 PM,059XX W DIVERSEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,2514,025,30,19,01A,1136133,1917995,2018,07/21/2018 03:49:07 PM,41.931149149,-87.775157527,"(41.931149149, -87.775157527)"
24064,H572315,08/12/2015 06:19:00 PM,017XX W WILSON AVE,0110,HOMICIDE,FIRST DEGREE MURDER,RESTAURANT,true,false,1912,019,47,3,01A,1163649,1930591,2015,07/21/2018 03:46:48 PM,41.965177134,-87.673684908,"(41.965177134, -87.673684908)"
24055,JB348808,07/13/2018 11:53:00 PM,014XX E 67TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0332,003,5,43,01A,1187049,1860526,2018,07/20/2018 03:52:22 PM,41.772389445,-87.589881021,"(41.772389445, -87.589881021)"
11273288,JB207703,04/01/2018 04:34:00 PM,038XX S INDIANA AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,0212,002,3,35,01B,1178233,1879479,2018,07/20/2018 03:49:58 PM,41.824602821,-87.621622402,"(41.824602821, -87.621622402)"
24056,JB346048,07/12/2018 12:06:00 AM,013XX W 57TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0713,007,16,67,01A,1168523,1866968,2018,07/19/2018 03:58:29 PM,41.790486472,-87.657606178,"(41.790486472, -87.657606178)"
24054,JB346789,07/12/2018 05:31:00 PM,012XX W 81ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0612,006,21,71,01A,1169312,1851067,2018,07/19/2018 03:58:29 PM,41.746835062,-87.655172836,"(41.746835062, -87.655172836)"
24052,JB345903,07/12/2018 01:12:00 AM,024XX W JARVIS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,2411,024,50,2,01A,1158835,1949037,2018,07/19/2018 03:58:29 PM,42.015894034,-87.69087606,"(42.015894034, -87.69087606)"
